date,n,ct
2010-11-05,17,2914
2010-11-06,9,2923
2010-11-07,5,2928
2010-11-08,16,2944
2010-11-09,20,2964
2010-11-10,39,3003
2010-11-11,23,3026
2010-11-12,16,3042
2010-11-13,9,3051
2010-11-14,21,3072
2010-11-15,13,3085
2010-11-16,14,3099
2010-11-17,14,3113
2010-11-18,14,3127
2010-11-19,31,3158
2010-11-20,5,3163
2010-11-21,6,3169
2010-11-22,11,3180
2010-11-23,44,3224
2010-11-24,245,3469
2010-11-25,69,3538
2010-11-26,39,3577
2010-11-27,21,3598
2010-11-28,25,3623
2010-11-29,33,3656
2010-11-30,48,3704
2010-12-01,22,3726
2010-12-02,158,3884
2010-12-03,73,3957
2010-12-04,43,4000
2010-12-05,27,4027
2010-12-06,35,4062
2010-12-07,25,4087
2010-12-08,23,4110
2010-12-09,22,4132
2010-12-10,16,4148
2010-12-11,10,4158
2010-12-12,15,4173
2010-12-13,57,4230
2010-12-14,40,4270
2010-12-15,21,4291
2010-12-16,11,4302
2010-12-17,23,4325
2010-12-18,14,4339
2010-12-19,16,4355
2010-12-20,17,4372
2010-12-21,20,4392
2010-12-22,17,4409
2010-12-23,13,4422
2010-12-24,11,4433
2010-12-25,7,4440
2010-12-26,6,4446
2010-12-27,10,4456
2010-12-28,19,4475
2010-12-29,15,4490
2010-12-30,21,4511
2010-12-31,7,4518
2011-01-01,3,4521
2011-01-02,13,4534
2011-01-03,13,4547
2011-01-04,19,4566
2011-01-05,24,4590
2011-01-06,25,4615
2011-01-07,15,4630
2011-01-08,8,4638
2011-01-09,13,4651
2011-01-10,10,4661
2011-01-11,23,4684
2011-01-12,9,4693
2011-01-13,10,4703
2011-01-14,6,4709
2011-01-15,9,4718
2011-01-16,12,4730
2011-01-17,9,4739
2011-01-18,26,4765
2011-01-19,28,4793
2011-01-20,32,4825
2011-01-21,30,4855
2011-01-22,27,4882
2011-01-23,18,4900
2011-01-24,19,4919
2011-01-25,28,4947
2011-01-26,37,4984
2011-01-27,36,5020
2011-01-28,27,5047
2011-01-29,15,5062
2011-01-30,11,5073
2011-01-31,17,5090
2011-02-01,26,5116
2011-02-02,31,5147
2011-02-03,29,5176
2011-02-04,36,5212
2011-02-05,51,5263
2011-02-06,29,5292
2011-02-07,38,5330
2011-02-08,42,5372
2011-02-09,85,5457
2011-02-10,57,5514
2011-02-11,61,5575
2011-02-12,32,5607
2011-02-13,68,5675
2011-02-14,26,5701
2011-02-15,23,5724
2011-02-16,39,5763
2011-02-17,29,5792
2011-02-18,25,5817
2011-02-19,16,5833
2011-02-20,36,5869
2011-02-21,22,5891
2011-02-22,23,5914
2011-02-23,13,5927
2011-02-24,13,5940
2011-02-25,12,5952
2011-02-26,9,5961
2011-02-27,12,5973
2011-02-28,18,5991
2011-03-01,31,6022
2011-03-02,27,6049
2011-03-03,15,6064
2011-03-04,19,6083
2011-03-05,6,6089
2011-03-06,12,6101
2011-03-07,22,6123
2011-03-08,19,6142
2011-03-09,11,6153
2011-03-10,17,6170
2011-03-11,18,6188
2011-03-12,11,6199
2011-03-13,10,6209
2011-03-14,17,6226
2011-03-15,35,6261
2011-03-16,66,6327
2011-03-17,44,6371
2011-03-18,44,6415
2011-03-19,12,6427
2011-03-20,23,6450
2011-03-21,26,6476
2011-03-22,30,6506
2011-03-23,28,6534
2011-03-24,29,6563
2011-03-25,21,6584
2011-03-26,26,6610
2011-03-27,18,6628
2011-03-28,43,6671
2011-03-29,60,6731
2011-03-30,72,6803
2011-03-31,63,6866
2011-04-01,48,6914
2011-04-02,28,6942
2011-04-03,27,6969
2011-04-04,317,7286
2011-04-05,892,8178
2011-04-06,320,8498
2011-04-07,240,8738
2011-04-08,164,8902
2011-04-09,48,8950
2011-04-10,68,9018
2011-04-11,106,9124
2011-04-12,85,9209
2011-04-13,79,9288
2011-04-14,58,9346
2011-04-15,44,9390
2011-04-16,30,9420
2011-04-17,19,9439
2011-04-18,47,9486
2011-04-19,68,9554
2011-04-20,72,9626
2011-04-21,43,9669
2011-04-22,34,9703
2011-04-23,24,9727
2011-04-24,18,9745
2011-04-25,51,9796
2011-04-26,39,9835
2011-04-27,45,9880
2011-04-28,29,9909
2011-04-29,32,9941
2011-04-30,17,9958
2011-05-01,14,9972
2011-05-02,23,9995
2011-05-03,52,10047
2011-05-04,25,10072
2011-05-05,89,10161
2011-05-06,50,10211
2011-05-07,24,10235
2011-05-08,17,10252
2011-05-09,36,10288
2011-05-10,30,10318
2011-05-11,36,10354
2011-05-12,34,10388
2011-05-13,36,10424
2011-05-14,26,10450
2011-05-15,13,10463
2011-05-16,47,10510
2011-05-17,52,10562
2011-05-18,53,10615
2011-05-19,33,10648
2011-05-20,32,10680
2011-05-21,16,10696
2011-05-22,21,10717
2011-05-23,262,10979
2011-05-24,85,11064
2011-05-25,63,11127
2011-05-26,39,11166
2011-05-27,38,11204
2011-05-28,21,11225
2011-05-29,21,11246
2011-05-30,22,11268
2011-05-31,26,11294
2011-06-01,28,11322
2011-06-02,32,11354
2011-06-03,16,11370
2011-06-04,17,11387
2011-06-05,31,11418
2011-06-06,46,11464
2011-06-07,55,11519
2011-06-08,32,11551
2011-06-09,31,11582
2011-06-10,14,11596
2011-06-11,13,11609
2011-06-12,19,11628
2011-06-13,26,11654
2011-06-14,32,11686
2011-06-15,21,11707
2011-06-16,24,11731
2011-06-17,23,11754
2011-06-18,15,11769
2011-06-19,9,11778
2011-06-20,8,11786
2011-06-21,12,11798
2011-06-22,19,11817
2011-06-23,34,11851
2011-06-24,11,11862
2011-06-25,5,11867
2011-06-26,9,11876
2011-06-27,21,11897
2011-06-28,31,11928
2011-06-29,52,11980
2011-06-30,56,12036
2011-07-01,44,12080
2011-07-02,20,12100
2011-07-03,14,12114
2011-07-04,33,12147
2011-07-05,56,12203
2011-07-06,34,12237
2011-07-07,48,12285
2011-07-08,34,12319
2011-07-09,21,12340
2011-07-10,19,12359
2011-07-11,141,12500
2011-07-12,46,12546
2011-07-13,102,12648
2011-07-14,62,12710
2011-07-15,40,12750
2011-07-16,13,12763
2011-07-17,16,12779
2011-07-18,25,12804
2011-07-19,28,12832
2011-07-20,56,12888
2011-07-21,46,12934
2011-07-22,29,12963
2011-07-23,24,12987
2011-07-24,12,12999
2011-07-25,40,13039
2011-07-26,29,13068
2011-07-27,32,13100
2011-07-28,32,13132
2011-07-29,18,13150
2011-07-30,20,13170
2011-07-31,25,13195
2011-08-01,90,13285
2011-08-02,75,13360
2011-08-03,54,13414
2011-08-04,57,13471
2011-08-05,39,13510
2011-08-06,33,13543
2011-08-07,42,13585
2011-08-08,166,13751
2011-08-09,125,13876
2011-08-10,38,13914
2011-08-11,29,13943
2011-08-12,32,13975
2011-08-13,10,13985
2011-08-14,22,14007
2011-08-15,33,14040
2011-08-16,28,14068
2011-08-17,32,14100
2011-08-18,113,14213
2011-08-19,63,14276
2011-08-20,33,14309
2011-08-21,29,14338
2011-08-22,64,14402
2011-08-23,154,14556
2011-08-24,236,14792
2011-08-25,210,15002
2011-08-26,39,15041
2011-08-27,67,15108
2011-08-28,36,15144
2011-08-29,29,15173
2011-08-30,46,15219
2011-08-31,49,15268
2011-09-01,52,15320
2011-09-02,47,15367
2011-09-03,19,15386
2011-09-04,13,15399
2011-09-05,23,15422
2011-09-06,28,15450
2011-09-07,38,15488
2011-09-08,26,15514
2011-09-09,28,15542
2011-09-10,23,15565
2011-09-11,26,15591
2011-09-12,30,15621
2011-09-13,30,15651
2011-09-14,26,15677
2011-09-15,45,15722
2011-09-16,41,15763
2011-09-17,20,15783
2011-09-18,22,15805
2011-09-19,37,15842
2011-09-20,38,15880
2011-09-21,36,15916
2011-09-22,61,15977
2011-09-23,79,16056
2011-09-24,33,16089
2011-09-25,42,16131
2011-09-26,95,16226
2011-09-27,54,16280
2011-09-28,62,16342
2011-09-29,47,16389
2011-09-30,42,16431
2011-10-01,24,16455
2011-10-02,22,16477
2011-10-03,46,16523
2011-10-04,73,16596
2011-10-05,44,16640
2011-10-06,45,16685
2011-10-07,35,16720
2011-10-08,36,16756
2011-10-09,39,16795
2011-10-10,65,16860
2011-10-11,66,16926
2011-10-12,59,16985
2011-10-13,36,17021
2011-10-14,40,17061
2011-10-15,35,17096
2011-10-16,31,17127
2011-10-17,55,17182
2011-10-18,48,17230
2011-10-19,38,17268
2011-10-20,65,17333
2011-10-21,42,17375
2011-10-22,36,17411
2011-10-23,41,17452
2011-10-24,47,17499
2011-10-25,43,17542
2011-10-26,45,17587
2011-10-27,42,17629
2011-10-28,38,17667
2011-10-29,21,17688
2011-10-30,23,17711
2011-10-31,47,17758
2011-11-01,41,17799
2011-11-02,53,17852
2011-11-03,345,18197
2011-11-04,803,19000
2011-11-05,272,19272
2011-11-06,224,19496
2011-11-07,208,19704
2011-11-08,189,19893
2011-11-09,419,20312
2011-11-10,221,20533
2011-11-11,189,20722
2011-11-12,102,20824
2011-11-13,101,20925
2011-11-14,132,21057
2011-11-15,152,21209
2011-11-16,122,21331
2011-11-17,147,21478
2011-11-18,133,21611
2011-11-19,102,21713
2011-11-20,90,21803
2011-11-21,114,21917
2011-11-22,97,22014
2011-11-23,78,22092
2011-11-24,59,22151
2011-11-25,71,22222
2011-11-26,51,22273
2011-11-27,49,22322
2011-11-28,106,22428
2011-11-29,98,22526
2011-11-30,239,22765
2011-12-01,142,22907
2011-12-02,118,23025
2011-12-03,81,23106
2011-12-04,75,23181
2011-12-05,152,23333
2011-12-06,151,23484
2011-12-07,75,23559
2011-12-08,119,23678
2011-12-09,54,23732
2011-12-10,45,23777
2011-12-11,39,23816
2011-12-12,72,23888
2011-12-13,242,24130
2011-12-14,219,24349
2011-12-15,105,24454
2011-12-16,66,24520
2011-12-17,43,24563
2011-12-18,50,24613
2011-12-19,75,24688
2011-12-20,56,24744
2011-12-21,83,24827
2011-12-22,58,24885
2011-12-23,62,24947
2011-12-24,43,24990
2011-12-25,48,25038
2011-12-26,39,25077
2011-12-27,51,25128
2011-12-28,54,25182
2011-12-29,45,25227
2011-12-30,70,25297
2011-12-31,46,25343
2012-01-01,43,25386
2012-01-02,82,25468
2012-01-03,71,25539
2012-01-04,87,25626
2012-01-05,121,25747
2012-01-06,79,25826
2012-01-07,92,25918
2012-01-08,66,25984
2012-01-09,139,26123
2012-01-10,84,26207
2012-01-11,92,26299
2012-01-12,88,26387
2012-01-13,73,26460
2012-01-14,58,26518
2012-01-15,61,26579
2012-01-16,77,26656
2012-01-17,72,26728
2012-01-18,100,26828
2012-01-19,90,26918
2012-01-20,57,26975
2012-01-21,37,27012
2012-01-22,32,27044
2012-01-23,62,27106
2012-01-24,65,27171
2012-01-25,50,27221
2012-01-26,55,27276
2012-01-27,68,27344
2012-01-28,44,27388
2012-01-29,42,27430
2012-01-30,54,27484
2012-01-31,68,27552
2012-02-01,65,27617
2012-02-02,51,27668
2012-02-03,61,27729
2012-02-04,53,27782
2012-02-05,59,27841
2012-02-06,74,27915
2012-02-07,77,27992
2012-02-08,69,28061
2012-02-09,79,28140
2012-02-10,104,28244
2012-02-11,60,28304
2012-02-12,60,28364
2012-02-13,83,28447
2012-02-14,70,28517
2012-02-15,57,28574
2012-02-16,79,28653
2012-02-17,52,28705
2012-02-18,50,28755
2012-02-19,38,28793
2012-02-20,76,28869
2012-02-21,72,28941
2012-02-22,99,29040
2012-02-23,103,29143
2012-02-24,122,29265
2012-02-25,80,29345
2012-02-26,113,29458
2012-02-27,165,29623
2012-02-28,122,29745
2012-02-29,94,29839
2012-03-01,191,30030
2012-03-02,175,30205
2012-03-03,125,30330
2012-03-04,88,30418
2012-03-05,185,30603
2012-03-06,161,30764
2012-03-07,170,30934
2012-03-08,78,31012
2012-03-09,92,31104
2012-03-10,77,31181
2012-03-11,73,31254
2012-03-12,108,31362
2012-03-13,114,31476
2012-03-14,112,31588
2012-03-15,90,31678
2012-03-16,89,31767
2012-03-17,72,31839
2012-03-18,86,31925
2012-03-19,120,32045
2012-03-20,103,32148
2012-03-21,104,32252
2012-03-22,119,32371
2012-03-23,107,32478
2012-03-24,71,32549
2012-03-25,92,32641
2012-03-26,131,32772
2012-03-27,121,32893
2012-03-28,135,33028
2012-03-29,147,33175
2012-03-30,130,33305
2012-03-31,106,33411
2012-04-01,79,33490
2012-04-02,129,33619
