author,user,total
Leonie,iamleonie,153
Michal Bogacz,michau96,149.5
Bukun,ambarish,139.5
Schubert de Abreu,spitfire2nd,132
Abir ELTAIEF,abireltaief,102
Karthik,karthikrg,81
Tanya Dayanand,tanyadayanand,77.5
GSD,gsdeepakkumar,64
sravya yellapragada,sravyaysk,55
